[0.000000] (-) TimerEvent: {}
[0.001387] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.001526] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.001621] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.001712] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.001804] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.001895] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001983] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.002075] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.002167] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.002257] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.002718] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.002762] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.002788] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.002811] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.002832] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.002854] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.002874] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.002894] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.002915] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.002936] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.002956] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.002977] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.002997] (-) JobUnselected: {'identifier': 'package1'}
[0.003017] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.003038] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.003060] (-) EventReactorShutdown: {}
